"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000004139",51.7459540250963,-0.104113463821642,0.151191761356889,-0.68861863164542,0.491063293079406,0.806461668309268
"ENSG00000004142",438.026793311693,0.0278836638147388,0.0548657054192923,0.508216628249788,0.611301430763297,0.865911158028762
"ENSG00000004399",23.2307091270349,0.290548030798075,0.204487964261575,1.42085639048377,0.155358513146149,NA
"ENSG00000004455",412.996390949367,0.0326897115872445,0.0528859700626306,0.618116894679846,0.536498286357016,0.829825388296039
"ENSG00000004468",0.219594060079019,0,2.62710911232483,0,1,NA
"ENSG00000004478",424.091467873691,0.0762012189541765,0.0474669222991921,1.60535411320471,0.108415896674155,0.448369318875228
"ENSG00000004487",271.176348048658,0.0132134576834481,0.0650640408689638,0.203083877161264,0.839069473310516,0.952343231869217
"ENSG00000004534",44.2531302995035,0.0511356845614974,0.152064627563689,0.336275999098346,0.736662747090905,0.919002640446902
"ENSG00000004660",4.96416496144212,-0.74899109752676,0.411011563097105,-1.82231149869086,0.0684077344527108,NA
"ENSG00000004700",269.347488056026,-0.196867408954506,0.0752908055256256,-2.61476029616261,0.00892900951574547,0.163577749505638
"ENSG00000004766",56.3253660206297,-0.250779449790757,0.141459703524637,-1.77279779005815,0.0762622197523059,0.386140368613918
"ENSG00000004776",0.0625540621837632,1.38885019832757,4.99736139460297,0.277916702167568,0.781076302308611,NA
"ENSG00000004777",0.288778954443496,1.20126489973142,2.20588872784427,0.544571847422863,0.586048021560366,NA
"ENSG00000004779",187.871758876433,-0.16655180804311,0.0862187968423854,-1.93173431018272,0.0533923076598548,0.336484450444755
"ENSG00000004799",0.480394539851259,-1.00989715326039,1.52411757507458,-0.662611054275763,0.507579688566432,NA
"ENSG00000004838",1.33382537143416,-0.561989908115503,0.889969472072209,-0.631470995074656,0.527732608395751,NA
"ENSG00000004848",0.0388240413193562,0,4.99736139460297,0,1,NA
"ENSG00000004864",65.4737146666052,-0.115201226897938,0.133121822211691,-0.865381986093497,0.386829164855638,0.735521592626178
"ENSG00000004866",86.136972156734,-0.173427720690431,0.100726392125443,-1.72177040228392,0.0851111181980966,0.40477877527174
"ENSG00000004897",241.46956561643,0.000725513256013834,0.0825172156927561,0.00879226534636365,0.992984877608526,0.998971418155052
"ENSG00000004961",146.802161764994,-0.112221740263008,0.0910980874841509,-1.23187811470282,0.217994617794527,0.582254177010654
"ENSG00000004975",107.712518504475,0.059208992145886,0.0911272878600258,0.64973943081498,0.515860549153323,0.818978039820217
"ENSG00000005007",141.230017087885,-0.00938902937423886,0.0822080116409461,-0.114210636978384,0.909070819996898,0.975199989359029
"ENSG00000005020",3.20862519245951,-0.278394197378534,0.542501320744842,-0.513167778091866,0.60783396336849,NA
"ENSG00000005022",954.987943935469,-0.038354347273664,0.0399184954440803,-0.960816454803326,0.336644463511095,0.697646571790271
"ENSG00000005059",62.7455116581383,-0.143909730049598,0.137246681648385,-1.04854797450246,0.294386211147452,0.657083034826357
"ENSG00000005073",0.369386523562413,-2.11289912069592,1.95010425103329,-1.0834800855269,0.278595385494511,NA
"ENSG00000005075",93.2118865265952,-0.0666131737923443,0.0982939900789593,-0.677693252037425,0.497966205839474,0.811547472616519
"ENSG00000005100",14.6691165694906,-0.0718329834349237,0.242962619512337,-0.295654465609168,0.767493974455992,NA
"ENSG00000005102",0.0637583530380099,0,4.99736139460297,0,1,NA
