,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
5323,ENSG00000141985,61.9696265772773,-0.615219765412449,0.130567300571084,-4.71189771651523,2.45420560548475e-06,0.001284060824503,SH3GL1
1546,ENSG00000100280,76.7626110909594,-0.597239377548294,0.13258740054297,-4.50449571454366,6.65307404310025e-06,0.0025315954775518,AP1B1
6410,ENSG00000156983,47.2660724128521,-0.596903162436555,0.137645360008427,-4.33652948708195,1.44750016419551e-05,0.0043276808480483,BRPF1
8109,ENSG00000172354,44.4965323305764,-0.579241853297706,0.150535778729239,-3.84786831534289,0.00011915006572,0.0194307451330691,GNB2
1232,ENSG00000088247,37.6609987541117,-0.575673721583567,0.152294185033718,-3.78001117676366,0.0001568213189672,0.0228977360729245,KHSRP
9899,ENSG00000198911,68.9835584296975,-0.55947325873245,0.111981135939737,-4.99613844811801,5.84896767450361e-07,0.000564965285298,SREBF2
9951,ENSG00000204160,38.5715698774457,-0.558629219561291,0.158940647168683,-3.51470331543587,0.0004402455278082,0.0435288432495156,ZDHHC18
955,ENSG00000077150,45.48636457768,-0.551099960422385,0.148776437538055,-3.70421532832724,0.0002120460834906,0.0280280281093948,NFKB2
5901,ENSG00000149115,47.1526320592337,-0.537855573639751,0.132248267200289,-4.06701414715078,4.76193532148212e-05,0.0103520821313252,TNKS1BP1
7171,ENSG00000164880,53.8853293369635,-0.528021397810328,0.146551865313471,-3.602966067207,0.0003146066119698,0.0369207030514572,INTS1
3129,ENSG00000116871,89.6409721781272,-0.517915899356418,0.114556050933605,-4.52106977445125,6.15279020660984e-06,0.0024143933320124,MAP7D1
7351,ENSG00000166189,59.7841947759951,-0.516563048787282,0.126508735037006,-4.08322040874237,4.44158595671845e-05,0.0100525344559645,HPS6
6289,ENSG00000155254,88.2111800268131,-0.512856200837923,0.108558477807031,-4.72423905712415,2.30978583636724e-06,0.0012610426411853,MARVELD1
7243,ENSG00000165458,51.6457300284253,-0.511852545153489,0.143481285712654,-3.56738192448708,0.0003605657643806,0.0393706461158947,INPPL1
3821,ENSG00000126012,52.7631724290349,-0.508597958753988,0.12807500676682,-3.97109452962956,7.15431827074573e-05,0.0138303081205475,KDM5C
991,ENSG00000078401,64.9398368996372,0.511009414599765,0.122114164167586,4.18468584773237,2.85560740366788e-05,0.0070309533662465,EDN1
9908,ENSG00000198938,244.459705246476,0.517354322031084,0.0867885985359629,5.96108625739251,2.5056664958036303e-09,1.3490898356266e-05,COX3
8481,ENSG00000176563,68.1333048526611,0.526258243824627,0.12431621399901,4.23322289905658,2.30365978662517e-05,0.0060264699876358,CNTD1
9055,ENSG00000184602,66.0318804571416,0.533818137511938,0.117330353577184,4.54970194188304,5.37219560594043e-06,0.0021760858136707,SNN
12350,ENSG00000302734,51.5238613069057,0.591909545463063,0.146814360258258,4.03168698499145,5.53779115805088e-05,0.0115067806154144,
10106,ENSG00000211459,115.487587909965,0.615158985025482,0.103988293336538,5.9156561309708,3.3055517316657102e-09,1.3490898356266e-05,
2620,ENSG00000111358,38.1155023878164,0.624534163810894,0.163088625408425,3.82941582987082,0.0001284478058543,0.0201298516471583,GTF2H3
5410,ENSG00000143224,36.0641763141487,0.645431558845716,0.172195010243621,3.74825935973732,0.0001780660691335,0.0251233216866351,PPOX
3181,ENSG00000117461,19.9402245486602,0.80964414956773,0.228253605712262,3.54712534350222,0.0003894592507157,0.0402087877615734,PIK3R3
5985,ENSG00000150756,22.9458455768119,0.818343879445091,0.216850412388532,3.77377137738092,0.0001607981274865,0.0229447964414628,ATPSCKMT
5710,ENSG00000146416,21.6376915579641,0.854310027874014,0.210107830092096,4.0660551655764,4.7815621853696e-05,0.0103520821313252,AIG1
7959,ENSG00000171016,16.4362001882548,0.856050567268545,0.245626744474754,3.48516839686622,0.0004918274104392,0.0464351638562844,PYGO1
9766,ENSG00000198198,25.1980546257504,1.01751052889095,0.212565971650372,4.78679875706797,1.69462603989853e-06,0.0009672463265002,SZT2
4179,ENSG00000131018,10.3585734765228,1.26050224288112,0.302613545790549,4.16538605232682,3.10826141456252e-05,0.0072278589967891,SYNE1
12067,ENSG00000291186,8.06759194601367,1.27101736428503,0.357463716265582,3.55565420055306,0.0003770397257755,0.0401227782759633,
1698,ENSG00000101104,8.7384342298028,1.32309744608637,0.381879141413224,3.4647020551842,0.0005308192142116,0.048300701977213,PABPC1L
3802,ENSG00000125885,5.97813544815619,1.63914105532509,0.393078901381371,4.17000518105846,3.04592714239758e-05,0.0072278589967891,MCM8
